"gene","marv.count","marv.lof.count","marv.ms.count","MSZ","pLI","pRec","pNull","scale.msz","lof.ms.aggregate","brain.expressed"
"CHD8",42,27,10,5.54448132261703,0.999999999998095,1.90551347864159e-12,5.03265001946919e-32,0.399586185918553,100,TRUE
"SCN2A",37,19,14,6.58484084333794,0.999999992314383,7.6856172010827e-09,1.50831673961379e-22,0.474564036628077,82.7332902801972,TRUE
"ADNP",24,22,1,1.02199278469401,0.9989040999292,0.00109589739428926,2.67651096393963e-09,0.0736541752257911,71.1370584688887,TRUE
"DYRK1A",27,19,1,3.36560824665812,0.999584541726647,0.000415458021545489,2.51807787327076e-10,0.242556604364819,62.0555833697617,TRUE
"SYNGAP1",17,12,4,7.15101336997132,0.999998449747972,1.55025202789228e-06,3.06418087674641e-16,0.515367622631054,45.3655779968452,TRUE
"TBR1",19,9,10,5.57130696254646,0.993588037464593,0.00641097747718691,9.85058220457899e-07,0.401519487614512,41.8039261892892,FALSE
"CHD2",16,9,7,5.08549842175629,0.999999998845422,1.15457803976173e-09,1.23440328444422e-26,0.366507667643338,37.3132185053404,TRUE
"ARID1B",12,10,2,3.39465595575973,0.999949930200412,5.00697995874118e-05,4.93048584287307e-16,0.24465004874928,33.8393539343116,TRUE
"POGZ",12,9,3,3.35862663890161,0.999999128125461,8.71874539445422e-07,1.52606829415895e-17,0.242053445664721,31.3788741681888,TRUE
"GRIN2B",16,7,5,6.74427325887101,0.999994895762786,5.10423718653419e-06,2.75953725792621e-14,0.486054199030603,30.4241750345572,FALSE
"ANK2",13,9,4,1.06265769768225,0.999999999999808,1.92138365459067e-13,3.15578290665686e-37,0.0765848618917191,30.0244577481322,TRUE
"WDFY3",12,7,5,5.71814652947646,1,3.27482414149096e-17,4.22627055154939e-47,0.412102093827313,29.2313551735183,TRUE
"TRIP12",12,6,4,4.58637576586433,0.999999999999483,5.17073705873884e-13,2.53351926780523e-31,0.330536310402068,23.6229767537418,TRUE
"DYNC1H1",8,0,7,13.8755580598253,1,5.9534498588438e-24,9.61798541804241e-61,1,22.583659818245,TRUE
"NCKAP1",8,7,0,3.98417549811996,0.999999990714008,9.28599176475315e-09,5.83999076488527e-21,0.287136234877325,22.5836596085333,TRUE
"NRXN1",10,6,4,3.02032974770927,0.999948738356297,5.12616436900203e-05,1.27524581181075e-14,0.217672668348685,22.1654849758853,TRUE
"ASH1L",9,6,3,3.04734656617613,0.999999999999834,1.66217650870229e-13,1.32262956600663e-34,0.21961974812381,21.4830588503483,TRUE
"DSCAM",9,6,1,4.35193068334324,0.99999999983846,1.61539536423789e-10,1.23775129409144e-26,0.313640047094296,20.3692998595053,TRUE
"CNOT3",6,6,0,3.89464768723766,0.999967222421856,3.27775755841756e-05,2.5594162322019e-12,0.280684039549664,19.3567882119176,FALSE
"CSDE1",6,6,0,3.22300231849498,0.999951563731616,4.84362670434901e-05,1.34073690332789e-12,0.232279112998469,19.3564851000317,TRUE
"VCP",6,5,1,6.46522535810991,0.999992047388692,7.95261122651884e-06,8.12694452907774e-14,0.465943447480433,17.6343013440459,TRUE
"NFIA",7,5,2,3.05843168080607,0.999555166212873,0.000444832317303599,1.4698236213465e-09,0.220418643172365,17.5462555038017,TRUE
"EPHB2",6,5,1,3.45281507510486,0.999948635231362,5.13647609935642e-05,7.64459666502637e-12,0.248841528406846,16.9331787850157,TRUE
"PTEN",15,2,12,3.71499650338098,0.975506865848027,0.0244877796497562,5.35450221699976e-06,0.267736727226649,16.6598189199702,TRUE
"PAX5",6,5,1,3.26423431865396,0.984243988730267,0.0157470987557515,8.91251398138048e-06,0.235250669168045,16.6359968832415,FALSE
"ATP1B1",6,5,1,2.30928498974768,0.995564605006206,0.00443499466746811,4.00326325478918e-07,0.166428260383551,16.5965744356247,TRUE
"WAC",5,5,0,1.56659103938187,0.999891942627968,0.000108057325244366,4.6788133695221e-11,0.112902921282691,16.1294424909387,TRUE
"PHF2",5,5,0,3.26481180190638,0.994132137165918,0.00586786150411262,1.32996985077728e-09,0.235292287908706,16.0365300001,TRUE
"CTNNB1",7,4,3,4.43638831419408,0.999812749503708,0.000187250460161459,3.61306746562573e-11,0.31972683873804,15.9970757927732,TRUE
"CDC42BPB",7,4,3,4.30414093998704,0.999999999630375,3.69624474937762e-10,9.29543575592032e-26,0.310195879793049,15.9072448454846,TRUE
"RAB2A",5,5,0,3.159896886311,0.970735512688083,0.0292234938261008,4.0993485816471e-05,0.227731156663171,15.6591147085981,TRUE
"MPHOSPH8",5,5,0,0.659497689748952,0.930242309438753,0.0697570823662564,6.08194990565266e-07,0.0475294533672439,15.0059113320739,TRUE
"LRP1",6,0,6,10.624353553968,1,1.45008684518029e-26,2.04766671977228e-66,0.765688378669922,14.8217536034272,TRUE
"SETD2",6,4,2,3.48482785281398,0.999992944074178,7.0559258216066e-06,6.98690040764261e-21,0.25114866283496,14.5253876870014,TRUE
"DIP2A",6,6,0,2.36896636579424,0.726099073608303,0.273900924724522,1.6671750069127e-09,0.170729447823309,14.0554066908967,TRUE
"KDM6B",7,4,2,2.43744149745079,0.999994424921105,5.5750788942643e-06,2.83433950286005e-16,0.175664393961066,14.0383464972898,TRUE
"KMT2C",7,4,3,1.52890858894059,0.999999999999997,2.53305448359176e-15,2.33643376123433e-47,0.110187178227255,13.9714183601757,TRUE
"CUL3",6,4,1,4.94789761339181,0.974063405438851,0.0259365434257954,5.11353534095903e-08,0.356590891123705,13.7206848198217,TRUE
"MYH10",6,3,3,5.68799130439558,0.999997549727666,2.45027233389188e-06,5.31384517930789e-22,0.409928831681685,13.6462704713648,TRUE
"SLC6A1",11,1,10,4.29822639738513,0.999301879165817,0.000698116426688977,4.40749428704483e-09,0.30976962359662,13.2178873868761,TRUE
"DST",5,4,1,0.121188640866477,0.99999999999999,9.56233768805028e-15,4.07735602188469e-50,0.00873396517415479,12.933126310191,TRUE
"MED13L",6,4,0,4.18444517166777,0.999999998677147,1.32285336955783e-09,2.07545059525534e-24,0.301569504709381,12.9049484504972,TRUE
"KMT2E",5,4,0,0.0784329394627183,0.999999994702687,5.29731303906743e-09,1.48807109962481e-21,0.00565259711534123,12.904948399207,TRUE
"DIP2C",4,4,0,5.82369772578908,0.999999838277401,1.61722598949221e-07,2.08733517764299e-21,0.419709081298198,12.9049463805468,TRUE
"SHANK2",4,4,0,3.05160497711582,0.999920169615752,7.98303618694895e-05,2.23789879524929e-11,0.219926648280281,12.9039182605737,TRUE
"RPS6KA3",4,4,0,4.72381033929086,0.999905699416843,9.43005495779085e-05,3.35793472027192e-11,0.340441106507131,12.9037315234025,TRUE
"MBD5",4,4,0,0,0.999852333253027,0.000147666726713591,2.0259064874505e-11,0,12.9030428358085,FALSE
"ITGA5",4,4,0,1.42958001838821,0.999798063012463,0.000201936987522458,1.47305810638295e-14,0.103028650251362,12.9023424811507,TRUE
"DLL1",4,4,0,2.22870570771942,0.999053067436918,0.000946923298646302,9.26443592691992e-09,0.160620978133652,12.8927283516397,FALSE
"SPAST",4,4,0,1.58730935043156,0.99707471255289,0.0029252815119096,5.93520056629293e-09,0.114396072834533,12.8671977838108,TRUE
"PRPF39",4,4,0,1.58579011779573,0.995121732276915,0.00487816550278528,1.02220300136461e-07,0.114286582994248,12.8419946739912,TRUE
"STXBP1",8,2,5,5.22205055973539,0.999882943227088,0.000117056716057476,5.68548084803849e-11,0.376348867355115,12.5226723517801,TRUE
"TBL1XR1",7,3,3,3.89134946232588,0.998821952425029,0.0011780317994886,1.577548245387e-08,0.280446339206545,12.381668534775,TRUE
"MUC5B",7,1,6,6.49815834289604,0.999999706471312,2.93528688420844e-07,6.11965786257582e-25,0.468316900471955,12.291644370522,FALSE
"TRIO",7,1,6,6.28711562483833,0.999999999999911,8.88381480352733e-14,2.38219649739501e-37,0.453107226226942,11.9972252240043,TRUE
"TRRAP",5,0,5,9.82274046620044,1,1.4953655719707e-21,1.64755095954838e-53,0.707916786038378,11.4195370539401,TRUE
"SHANK3",4,3,1,4.91987335556854,0.999839619981909,0.000160379993317064,2.47739080225053e-11,0.354571206026901,10.8210898642401,TRUE
"UBR3",5,3,2,2.38040654699674,0.999549123627985,0.000450876359430661,1.25840271488024e-11,0.171553932226255,10.7812947758112,TRUE
"BCL11A",4,4,0,5.52393014112452,0.828999684744843,0.170844975411558,0.000155339843598259,0.398105079255751,10.6981982112628,TRUE
"SETBP1",5,3,2,1.89658964072219,0.999002929381036,0.00099707018881189,4.30152142314033e-10,0.136685647708361,10.5510216119256,TRUE
"RELN",5,3,2,1.14293059623391,0.999999999999998,2.43713313930997e-15,3.09861954987044e-43,0.082370063337712,10.2102020619982,TRUE
"ANKRD11",4,3,0,2.76192652469898,0.999999821632236,1.78367763587875e-07,6.47207458553239e-20,0.19904976165937,9.67870962430633,TRUE
"TNRC6B",4,3,0,1.16967812715391,0.999999802750713,1.97249286937328e-07,4.08691571681075e-19,0.0842977357819248,9.67870944155752,TRUE
"SETD5",8,3,5,0,0.999999563778174,4.36221826397394e-07,2.82492183592089e-18,0,9.6787071286113,TRUE
"BRWD1",3,3,0,1.66973602190047,0.999999462325348,5.37674651724079e-07,6.52902891382071e-23,0.120336494914389,9.67870614667868,TRUE
"L1CAM",3,3,0,2.91415296949949,0.999983695509006,1.6304490898956e-05,9.45168300094434e-14,0.21002059570757,9.67855354421438,TRUE
